0-15(%),65+(%),% Couple household with dependent children,White (%),Private rented (%),Household spaces with at least one usual resident (%),Unemployment Rate,% Highest level of qualification: Level 4 qualifications and above,Median Annual Household Income estimate (?),fire,Population density
20.62937063,11.3986014,12.28070175,73.4965035,13.7,99.52380952,9.874826147,44.2,30222.70822,8,133.3955224
18.46932321,13.34598355,11.60822249,72.42251739,14,95.16685846,8.043217287,50.4,32049.04506,8,90.34285714
15.11771995,17.90582404,17.85173979,84.07682776,18.8,97.6366322,4.853273138,61.9,58468.94663,3,70.60367454
16.36249213,14.22278162,12.85714286,77.34424166,15,98.5915493,8.844339623,47.2,31551.20657,7,17.73239594
17.07602339,19.47368421,19.25207756,88.1871345,19.4,89.68944099,2.076843198,65.2,73024.45196,4,10.57513915
16.92209451,15.3256705,16.78321678,88.12260536,34.1,92.37726098,3.632478632,72.6,64137.58917,7,29.67032967
18.64650828,16.05471562,19.87075929,84.23326134,35.5,92.8035982,3.629536921,71.3,72739.20163,0,62.65223275
15.39877301,17.85276074,14.50653983,79.81595092,37,93.86160714,3.027027027,62.1,53603.22017,3,166.1569827
17.78959811,17.6713948,20.76719577,84.8108747,35.1,94.26433915,3.89064143,73.6,70351.08625,4,111.978822
19.61607678,17.5764847,23.20916905,87.10257948,24.5,91.72141919,2.476415094,62.6,76165.95274,7,15.39811565
17.05163043,15.625,20.06802721,84.17119565,21.4,96.07843137,3.86869871,66.3,64960.80689,3,113.0568356
20.39769083,13.7908916,15.83710407,77.99871713,15.8,97.78761062,6.388206388,53.3,37175.51628,2,176.9580023
13.93692777,6.510681587,12.1564482,76.39877925,48.8,96.92622951,4.751131222,61,35597.33646,6,158.0385852
15.39491299,11.57965194,14.17682927,79.11646586,17.7,98.64661654,7.068366165,57.9,45321.95796,9,174.941452
18.08447353,13.50386675,15.39589443,74.5389649,19.6,98.6975398,5.666666667,50.6,35656.28376,11,66.57425743
11.8226601,15.20935961,17.63636364,68.4729064,29.3,93.22033898,4.465493911,45.6,56251.22095,4,84.53930245
16.32373114,14.12894376,17.94019934,80.38408779,40,94.35736677,4.528301887,60,64715.26209,11,82.23350254
24.34456929,12.10986267,25.92592593,75.78027466,41.7,92.27340267,3.296703297,68.1,69876.24479,4,78.64506627
22.94077604,12.52552757,24.26343154,79.85023826,30.8,91.73290938,3.36473755,65.3,71430.1349,3,59.91027732
19.33962264,23.98921833,21.28378378,75.74123989,27.4,91.35802469,3.052325581,56.6,78338.71405,4,48.76766349
18.75,10.9375,15.66455696,70.25240385,26.7,93.21533923,6.538049303,57.8,50049.6735,3,54.32582436
12.30283912,5.678233438,9.748083242,66.92954784,58.6,94.70954357,5.511811024,51.6,32193.86464,12,129.4758339
15.43624161,10.43319097,14.08450704,81.2690665,33.4,97.12722298,4.178537512,65.5,54004.78532,6,134.3442623
14.56061578,13.47017319,17.89772727,75.56125722,38.8,95.91280654,3.556910569,67.5,57465.48204,9,182.1261682
13.85006353,9.656925032,15.56473829,79.0978399,46.8,94.53125,5.22749274,64.2,54472.31111,2,142.4434389
18.82352941,11.76470588,18.31683168,82.83737024,25.7,95.13343799,4.399524376,62.1,50302.27761,3,140.1551891
14.93943472,10.76716016,13.1884058,77.11978466,35.5,96.63865546,5.826271186,60.9,44663.22812,0,148.7487487
20.31152648,10.09345794,18.65136298,77.57009346,27,97.34636872,6.61345496,59.1,43520.28671,7,170.3821656
19.64188823,13.40206186,15.43134872,74.3895822,28.4,96.93757362,5.01002004,56.6,43769.47365,8,150.6950123
13.34259903,14.45448228,14.28571429,74.14871438,24.5,96.07843137,6.850961538,56.7,43890.98941,6,141.2168793
21.91616766,10.53892216,15.22070015,60.89820359,10,99.24471299,11.78010471,28.5,25438.45722,6,142.3699915
19.45121951,16.58536585,9.908735332,60.97560976,7,98.84020619,13.25478645,24.8,20034.11532,7,214.9410223
21.65079365,11.93650794,11.01190476,56.6984127,16.1,98.53372434,13.79310345,27.5,19956.32408,10,202.9639175
25.44258978,6.423874557,17.78093883,49.82296409,13.4,98.45938375,11.41439206,34.4,23151.23333,4,186.509434
14.54427925,8.338720103,9.647779479,72.26890756,26.5,97.75449102,5.975609756,44.2,30869.80791,7,80.95238095
13.92405063,10.52934407,12.94277929,76.81242808,27.2,97.86666667,4.549763033,59.2,43205.47428,5,172.7634195
18.34437086,10.13245033,12.65822785,67.8807947,54.1,92.26277372,4.631828979,62.3,48802.43135,4,102.165088
16.1269002,11.83079974,15.93406593,80.8988764,45.3,96.16908851,2.551020408,72.2,66131.34559,2,124.1181296
13.7254902,12.14177979,14.10658307,64.1025641,54.2,94.94047619,4.993429698,64.2,50700.56959,7,94.3772242
19.53663118,15.21603006,22.05270458,79.46149029,35,93.75812744,3.32963374,73.5,72915.9638,2,80.65656566
14.86408329,11.56737999,11.52941176,58.53094274,31.6,96.70079636,5.00481232,63.5,44229.59567,8,101.4076246
15.41871921,11.8226601,11.55507559,70.591133,22,98.3014862,7.105263158,50.4,33436.30732,3,139.5189003
15.88895452,10.15948021,11.88630491,74.83756645,19.6,97.97468354,7.434554974,49,31543.67881,10,133.6227309
12.27855834,9.651802077,9.308176101,78.74160049,32.8,97.18826406,4.952380952,63,40620.02962,2,166.5310275
24.95201536,11.58029431,13.03656598,55.34229047,16.1,98.58934169,11.92930781,34.3,24857.29222,6,188.7681159
14.18202122,6.197654941,10.88825215,59.29648241,39,98.30985915,3.90625,61,32989.5627,12,193.8311688
11.86023622,7.874015748,13.10272537,74.45866142,51.9,96.26639758,3.916083916,71.4,54854.49461,8,121.822542
5.67867036,6.994459834,5.294825511,81.37119114,53.4,96.4037123,3.421052632,72.2,48915.15888,4,209.2753623
16.30581867,9.878213802,18.95223421,80.92016238,37.4,97.15568862,4.021164021,64.5,55957.81574,3,184.0597758
16.57541065,9.308113489,10.85353003,56.94375311,35.6,97.53340185,8.211678832,48.3,30164.38294,5,143.5
12.25464191,6.684350133,8.389261745,63.23607427,46.6,94.6031746,7.056936648,56.8,33620.07205,12,80.04246285
