0-15(%),% Couple household with dependent children,Household spaces with at least one usual resident (%),Unemployment Rate,% Highest level of qualification: Level 4 qualifications and above
20.62937063,12.28070175,99.52380952,9.874826147,44.2
18.46932321,11.60822249,95.16685846,8.043217287,50.4
15.11771995,17.85173979,97.6366322,4.853273138,61.9
16.36249213,12.85714286,98.5915493,8.844339623,47.2
17.07602339,19.25207756,89.68944099,2.076843198,65.2
16.92209451,16.78321678,92.37726098,3.632478632,72.6
18.64650828,19.87075929,92.8035982,3.629536921,71.3
15.39877301,14.50653983,93.86160714,3.027027027,62.1
17.78959811,20.76719577,94.26433915,3.89064143,73.6
19.61607678,23.20916905,91.72141919,2.476415094,62.6
17.05163043,20.06802721,96.07843137,3.86869871,66.3
20.39769083,15.83710407,97.78761062,6.388206388,53.3
13.93692777,12.1564482,96.92622951,4.751131222,61
15.39491299,14.17682927,98.64661654,7.068366165,57.9
18.08447353,15.39589443,98.6975398,5.666666667,50.6
11.8226601,17.63636364,93.22033898,4.465493911,45.6
16.32373114,17.94019934,94.35736677,4.528301887,60
24.34456929,25.92592593,92.27340267,3.296703297,68.1
22.94077604,24.26343154,91.73290938,3.36473755,65.3
19.33962264,21.28378378,91.35802469,3.052325581,56.6
18.75,15.66455696,93.21533923,6.538049303,57.8
12.30283912,9.748083242,94.70954357,5.511811024,51.6
15.43624161,14.08450704,97.12722298,4.178537512,65.5
14.56061578,17.89772727,95.91280654,3.556910569,67.5
13.85006353,15.56473829,94.53125,5.22749274,64.2
18.82352941,18.31683168,95.13343799,4.399524376,62.1
14.93943472,13.1884058,96.63865546,5.826271186,60.9
20.31152648,18.65136298,97.34636872,6.61345496,59.1
19.64188823,15.43134872,96.93757362,5.01002004,56.6
13.34259903,14.28571429,96.07843137,6.850961538,56.7
21.91616766,15.22070015,99.24471299,11.78010471,28.5
19.45121951,9.908735332,98.84020619,13.25478645,24.8
21.65079365,11.01190476,98.53372434,13.79310345,27.5
25.44258978,17.78093883,98.45938375,11.41439206,34.4
14.54427925,9.647779479,97.75449102,5.975609756,44.2
13.92405063,12.94277929,97.86666667,4.549763033,59.2
18.34437086,12.65822785,92.26277372,4.631828979,62.3
16.1269002,15.93406593,96.16908851,2.551020408,72.2
13.7254902,14.10658307,94.94047619,4.993429698,64.2
19.53663118,22.05270458,93.75812744,3.32963374,73.5
14.86408329,11.52941176,96.70079636,5.00481232,63.5
15.41871921,11.55507559,98.3014862,7.105263158,50.4
15.88895452,11.88630491,97.97468354,7.434554974,49
12.27855834,9.308176101,97.18826406,4.952380952,63
24.95201536,13.03656598,98.58934169,11.92930781,34.3
14.18202122,10.88825215,98.30985915,3.90625,61
11.86023622,13.10272537,96.26639758,3.916083916,71.4
5.67867036,5.294825511,96.4037123,3.421052632,72.2
16.30581867,18.95223421,97.15568862,4.021164021,64.5
16.57541065,10.85353003,97.53340185,8.211678832,48.3
12.25464191,8.389261745,94.6031746,7.056936648,56.8
12.9501385,13.39779006,93.90402075,3.945885006,69.8
16.30925508,16.7816092,95.18599562,3.111111111,70.9
14.10579345,13.29192547,93.93232205,3.904761905,67.4
12.55576801,9.976798144,94.82948295,3.235294118,68.7
17.82343143,12.68163804,98.31168831,8.83248731,42.4
24.05237767,14.23728814,97.35973597,10.63492063,35.8
17.97169811,10.89324619,97.34888653,8.779631255,40.8
25.04892368,13.66995074,98.42424242,11.94029851,27.1
9.921671018,9.137055838,94.25837321,3.943377149,67.2
12.15235792,7.032181168,95.99542334,5.730659026,56.1
18.36384439,10,98.88751545,9.66029724,44.4
16.80628272,11.22565865,97.76035834,10.86105675,37.4
9.140369967,6.335797254,97.62886598,4.212168487,61
12.65377856,7.795371498,98.67788462,7.647628267,45.8
18.35518474,14.77541371,94,6.815869786,63.2
14.20765027,12.44870041,94.93506494,3.720405862,63.9
24.98334444,17.20779221,96.09984399,9.465648855,42.4
25.38552788,20.23633678,94.28969359,8.662420382,46.1
13.4027326,10.59972106,95.6,5.813953488,55.5
9.102990033,12.86031042,94.54926625,4.76858345,45.5
19.0920398,8.888888889,97.6845152,6.994818653,41.8
27.25381415,15.75342466,98.81556684,12.85714286,33.7
14.4549763,10.65149948,93.42995169,6.140350877,54.7
13.5678392,16.10738255,96.37774903,4.42086649,71.9
16.99429296,14.44600281,98.34482759,5.691964286,60.3
13.60052562,10.60209424,97.32484076,3.008298755,65
14.28571429,17.48148148,96.0170697,1.962708538,74.1
11.22923588,10,96.81528662,3.849950642,67.4
16.91093574,14.03091558,97.90454016,6.653426018,58.1
22.81583909,17.02453988,97.45889387,10.18387553,43.8
15.44461778,17.39130435,84.59244533,4.241071429,54.1
18.45280341,19.22455574,89.71014493,3.491620112,56
17.00069109,15.74344023,94.62068966,2.996254682,58.6
19.23696937,12.90322581,96.63341646,9.734513274,35.5
15.06935687,14.86988848,90.06696429,3.965183752,69
12.47130834,8.908406524,92.89044289,4.512372635,58.6
14.42757009,14.09313725,88.59934853,2.938388626,68.9
21.33738602,14.8089172,97.97191888,11.91895113,38.4
12.07115629,7.133058985,94.921875,7.439824945,48.3
